team,over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_type,wicket_kind,player_out,fielders
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,5,5,wides,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,0,V Kohli,MA Starc,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,0,PD Salt,MA Starc,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,4,0,4,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,0,0,0,,,,
Royal Challengers Bengaluru,1,V Kohli,AR Patel,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,1,PD Salt,AR Patel,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,0,4,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,4,1,5,noballs,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,6,0,6,,,,
Royal Challengers Bengaluru,2,PD Salt,MA Starc,V Kohli,0,1,1,legbyes,,,
Royal Challengers Bengaluru,2,V Kohli,MA Starc,PD Salt,0,4,4,legbyes,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,1,0,1,,,,
Royal Challengers Bengaluru,3,V Kohli,AR Patel,PD Salt,6,0,6,,,,
Royal Challengers Bengaluru,3,V Kohli,AR Patel,PD Salt,1,0,1,,,,
Royal Challengers Bengaluru,3,PD Salt,AR Patel,V Kohli,0,0,0,,run out,PD Salt,"KL Rahul,V Nigam"
Royal Challengers Bengaluru,3,D Padikkal,AR Patel,V Kohli,0,1,1,wides,,,
Royal Challengers Bengaluru,3,D Padikkal,AR Patel,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,4,V Kohli,V Nigam,D Padikkal,1,0,1,,,,
Royal Challengers Bengaluru,4,D Padikkal,V Nigam,V Kohli,0,0,0,,,,
Royal Challengers Bengaluru,4,D Padikkal,V Nigam,V Kohli,0,0,0,,,,
